animal_id,source_file,strain,dob,homecage_mice_at_testing,adversity_condition,genotype,birth_litter_size_p05_20,homecage_rank,adversity_age_range,vendor,p20_22_weight_g,homecage_nesting_material,experiment_cohort,bred_or_shipped,age_at_weaning_days,homecage_hut,sex,homecage_chewing_material,lab_source,testing_shavings,testing_light_phase,reinforcer,reinforcer_size_mg,testing_shavings_manufacturer,testing_room_lumens,experimenter,colony_light_cycle,video_recorded_discrimination,video_recorded_recall,video_recorded_reversal,colony_lights_on_time,testing_ramekin_diameter,colony_chow_brand,testing_ramekins_sham_baited,group,animal_id_inferred_from_filename,experimenter_gender,TTC_in_discrimination,Total_errors_in_discrimination,TTC_in_reversal,Total_errors_in_reversal,Perseverative_errors_in_reversal,Regressive_errors_in_reversal,O1_errors,O3_errors,O4_errors,disc_n_trials,disc_trials_to_criterion_8of10_non_omission,disc_total_errors,disc_omissions,disc_mean_latency_sec,disc_median_latency_sec,disc_mean_latency_correct_sec,disc_mean_latency_incorrect_sec,disc_mean_entries,disc_mean_entries_correct,disc_mean_entries_incorrect,disc_total_entries,disc_A_errors,disc_B_errors,disc_C_errors,disc_D_errors,disc_A_choices,disc_B_choices,disc_C_choices,disc_D_choices,disc_A_choice_percent_trials,disc_B_choice_percent_trials,disc_C_choice_percent_trials,disc_D_choice_percent_trials,disc_A_entries,disc_B_entries,disc_C_entries,disc_D_entries,disc_A_entry_percent_total,disc_B_entry_percent_total,disc_C_entry_percent_total,disc_D_entry_percent_total,disc_perseverative_errors,disc_regressive_errors,disc_irrelevant_errors,disc_novel_errors,recall_n_trials,recall_trials_to_criterion_8of10_non_omission,recall_total_errors,recall_omissions,recall_mean_latency_sec,recall_median_latency_sec,recall_mean_latency_correct_sec,recall_mean_latency_incorrect_sec,recall_mean_entries,recall_mean_entries_correct,recall_mean_entries_incorrect,recall_total_entries,recall_A_errors,recall_B_errors,recall_C_errors,recall_D_errors,recall_A_choices,recall_B_choices,recall_C_choices,recall_D_choices,recall_A_choice_percent_trials,recall_B_choice_percent_trials,recall_C_choice_percent_trials,recall_D_choice_percent_trials,recall_A_entries,recall_B_entries,recall_C_entries,recall_D_entries,recall_A_entry_percent_total,recall_B_entry_percent_total,recall_C_entry_percent_total,recall_D_entry_percent_total,recall_perseverative_errors,recall_regressive_errors,recall_irrelevant_errors,recall_novel_errors,rev_n_trials,rev_trials_to_criterion_8of10_non_omission,rev_total_errors,rev_omissions,rev_mean_latency_sec,rev_median_latency_sec,rev_mean_latency_correct_sec,rev_mean_latency_incorrect_sec,rev_mean_entries,rev_mean_entries_correct,rev_mean_entries_incorrect,rev_total_entries,rev_A_errors,rev_B_errors,rev_C_errors,rev_D_errors,rev_A_choices,rev_B_choices,rev_C_choices,rev_D_choices,rev_A_choice_percent_trials,rev_B_choice_percent_trials,rev_C_choice_percent_trials,rev_D_choice_percent_trials,rev_A_entries,rev_B_entries,rev_C_entries,rev_D_entries,rev_A_entry_percent_total,rev_B_entry_percent_total,rev_C_entry_percent_total,rev_D_entry_percent_total,rev_perseverative_errors,rev_regressive_errors,rev_irrelevant_errors,rev_novel_errors
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,27,15,20,8,2,6,8,0,0,27,27,15,0,13.074074074074074,8.0,14.75,11.733333333333333,2.3703703703703702,2.8333333333333335,2.0,64,0,4,4,7,12,4,4,7,44.44444444444444,14.814814814814813,14.814814814814813,25.925925925925924,13,17,15,19,20.3125,26.5625,23.4375,29.6875,0,0,0,0,8,8,0,0,18.875,11.0,18.875,,5.25,5.25,,42,0,0,0,0,8,0,0,0,100.0,0.0,0.0,0.0,10,12,7,13,23.809523809523807,28.57142857142857,16.666666666666664,30.952380952380953,0,0,0,0,20,20,8,0,13.1,8.0,11.583333333333334,15.375,3.25,2.75,4.0,65,8,0,0,0,8,12,0,0,40.0,60.0,0.0,0.0,16,17,19,13,24.615384615384617,26.153846153846157,29.230769230769234,20.0,2,6,0,0
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,17,5,13,4,1,3,4,0,0,17,17,5,0,12.941176470588236,9.0,10.333333333333334,19.2,2.7058823529411766,2.3333333333333335,3.6,46,0,4,0,1,12,4,0,1,70.58823529411765,23.52941176470588,0.0,5.88235294117647,14,10,10,12,30.434782608695656,21.73913043478261,21.73913043478261,26.08695652173913,0,0,0,0,9,9,1,0,7.333333333333333,5.0,5.875,19.0,2.4444444444444446,2.125,5.0,22,0,0,0,1,8,0,0,1,88.88888888888889,0.0,0.0,11.11111111111111,8,5,3,6,36.36363636363637,22.727272727272727,13.636363636363635,27.27272727272727,0,0,0,0,13,13,4,0,13.461538461538462,10.0,10.444444444444445,20.25,2.230769230769231,2.0,2.75,29,4,0,0,0,4,9,0,0,30.76923076923077,69.23076923076923,0.0,0.0,6,10,5,8,20.689655172413794,34.48275862068966,17.24137931034483,27.586206896551722,1,3,0,0
Example_Animal_03,example_animal_03_four_choice.xlsx,,,,Food Restriction,,,,,Jackson,,,,Shipped,,,M,,Wilbrecht; UC Berkeley,Aspen,Dark,Cheerio,,Kaytee,,Han-Ning Lu,10:10:00,N,Y,Y,22:00,,,,Food Restriction,False,M,38,15,49,23,2,20,22,1,0,38,38,15,3,69.73684210526316,50.0,60.15,60.46666666666667,9.631578947368421,6.8,9.666666666666666,366,0,8,0,7,20,8,0,7,52.63157894736842,21.052631578947366,0.0,18.421052631578945,89,96,82,99,24.316939890710383,26.229508196721312,22.404371584699454,27.049180327868854,0,0,0,0,11,11,1,1,64.27272727272727,65.0,57.666666666666664,8.0,7.909090909090909,6.777777777777778,1.0,87,0,0,0,1,9,0,0,1,81.81818181818183,0.0,0.0,9.090909090909092,25,19,19,24,28.735632183908045,21.839080459770116,21.839080459770116,27.586206896551722,0,0,0,0,48,49,23,1,31.75,17.5,28.291666666666668,28.91304347826087,3.4791666666666665,3.2916666666666665,3.652173913043478,167,22,0,1,0,22,24,1,0,45.83333333333333,50.0,2.083333333333333,0.0,47,35,46,39,28.143712574850298,20.958083832335326,27.54491017964072,23.353293413173652,2,20,1,0
Example_Animal_04,example_animal_04_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,57,24,51,23,0,10,10,5,8,57,57,24,5,47.63157894736842,18.0,32.82142857142857,37.333333333333336,6.56140350877193,4.285714285714286,5.5,374,0,8,0,16,28,8,0,16,49.122807017543856,14.035087719298245,0.0,28.07017543859649,98,97,79,100,26.203208556149733,25.935828877005346,21.12299465240642,26.737967914438503,0,0,0,0,38,38,11,4,42.55263157894737,17.5,29.304347826086957,20.272727272727273,6.131578947368421,4.086956521739131,3.3636363636363638,233,0,6,4,1,23,6,4,1,60.526315789473685,15.789473684210526,10.526315789473683,2.631578947368421,62,59,58,54,26.609442060085836,25.321888412017167,24.892703862660944,23.17596566523605,0,0,0,0,51,51,23,0,12.372549019607844,5.0,9.25,16.17391304347826,2.156862745098039,1.8214285714285714,2.5652173913043477,110,10,0,5,8,10,28,5,8,19.607843137254903,54.90196078431373,9.803921568627452,15.686274509803921,28,32,26,24,25.454545454545453,29.09090909090909,23.636363636363637,21.818181818181817,0,10,5,8
Example_Animal_05,example_animal_05_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,11,2,30,15,5,6,11,0,4,11,11,2,1,56.90909090909091,35.0,39.75,64.0,8.636363636363637,6.5,7.0,95,0,1,0,1,8,1,0,1,72.72727272727273,9.090909090909092,0.0,9.090909090909092,26,25,19,25,27.368421052631582,26.31578947368421,20.0,26.31578947368421,0,0,0,0,10,10,1,0,50.8,45.5,54.55555555555556,17.0,8.6,9.11111111111111,4.0,86,0,1,0,0,9,1,0,0,90.0,10.0,0.0,0.0,22,19,22,23,25.581395348837212,22.093023255813954,25.581395348837212,26.744186046511626,0,0,0,0,30,30,15,0,15.7,7.0,12.2,19.2,3.1666666666666665,2.0,4.333333333333333,95,11,0,0,4,11,15,0,4,36.666666666666664,50.0,0.0,13.333333333333334,21,30,17,27,22.105263157894736,31.57894736842105,17.894736842105264,28.421052631578945,5,6,0,4
Example_Animal_06,example_animal_06_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,15,5,61,45,27,10,37,4,4,15,15,5,0,24.8,12.0,31.6,11.2,3.8,4.2,3.0,57,0,1,1,3,10,1,1,3,66.66666666666666,6.666666666666667,6.666666666666667,20.0,16,15,13,13,28.07017543859649,26.31578947368421,22.807017543859647,22.807017543859647,0,0,0,0,33,33,12,0,14.393939393939394,7.0,15.571428571428571,12.333333333333334,3.090909090909091,3.2857142857142856,2.75,102,0,1,1,10,21,1,1,10,63.63636363636363,3.0303030303030303,3.0303030303030303,30.303030303030305,28,25,23,26,27.450980392156865,24.509803921568626,22.54901960784314,25.49019607843137,0,0,0,0,61,61,45,2,25.049180327868854,6.0,15.214285714285714,21.22222222222222,4.147540983606557,4.0,3.8,253,37,0,4,4,37,14,4,4,60.65573770491803,22.950819672131146,6.557377049180328,6.557377049180328,73,66,55,59,28.85375494071146,26.08695652173913,21.73913043478261,23.3201581027668,27,10,4,4
Example_Animal_07,example_animal_07_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,38,17,52,29,9,10,19,9,1,40,38,17,10,89.65,62.5,46.07692307692308,69.82352941176471,9.2,4.923076923076923,7.823529411764706,368,0,2,2,13,13,2,2,13,32.5,5.0,5.0,32.5,93,97,88,90,25.271739130434785,26.358695652173914,23.91304347826087,24.456521739130434,0,0,0,0,42,42,24,3,49.0,34.0,48.4,33.0,4.309523809523809,4.6,3.2083333333333335,181,0,14,1,9,15,14,1,9,35.714285714285715,33.33333333333333,2.380952380952381,21.428571428571427,44,48,42,47,24.30939226519337,26.519337016574585,23.204419889502763,25.96685082872928,0,0,0,0,52,52,29,5,36.78846153846154,13.5,14.277777777777779,26.06896551724138,5.038461538461538,2.5,3.896551724137931,262,19,0,9,1,19,18,9,1,36.53846153846153,34.61538461538461,17.307692307692307,1.9230769230769231,76,58,69,59,29.00763358778626,22.137404580152673,26.33587786259542,22.519083969465647,9,10,9,1
Example_Animal_08,example_animal_08_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,22,9,30,12,2,10,12,0,0,22,22,9,0,36.68181818181818,26.5,27.0,50.666666666666664,6.409090909090909,5.384615384615385,7.888888888888889,141,0,0,2,7,13,0,2,7,59.09090909090909,0.0,9.090909090909092,31.818181818181817,39,35,34,33,27.659574468085108,24.822695035460992,24.113475177304963,23.404255319148938,0,0,0,0,10,10,2,0,54.6,31.0,60.5,31.0,7.6,8.125,5.5,76,0,0,0,2,8,0,0,2,80.0,0.0,0.0,20.0,18,17,20,21,23.684210526315788,22.36842105263158,26.31578947368421,27.631578947368425,0,0,0,0,30,30,12,0,35.206896551724135,23.0,45.705882352941174,20.333333333333332,4.133333333333334,4.777777777777778,3.1666666666666665,124,12,0,0,0,12,18,0,0,40.0,60.0,0.0,0.0,26,36,29,33,20.967741935483872,29.03225806451613,23.387096774193548,26.61290322580645,2,10,0,0
Example_Animal_09,example_animal_09_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,81,44,34,18,0,12,12,5,1,82,81,44,1,28.658536585365855,16.0,29.64864864864865,24.386363636363637,4.658536585365853,4.621621621621622,4.545454545454546,382,0,6,4,34,37,6,4,34,45.1219512195122,7.317073170731707,4.878048780487805,41.46341463414634,98,94,86,104,25.654450261780106,24.60732984293194,22.5130890052356,27.225130890052355,0,0,0,0,16,16,7,0,24.3125,13.5,16.22222222222222,34.714285714285715,5.3125,3.7777777777777777,7.285714285714286,85,0,3,1,3,9,3,1,3,56.25,18.75,6.25,18.75,25,20,23,17,29.411764705882355,23.52941176470588,27.058823529411764,20.0,0,0,0,0,34,34,18,0,9.794117647058824,6.0,10.0625,9.555555555555555,2.6470588235294117,3.0,2.3333333333333335,90,12,0,5,1,12,16,5,1,35.294117647058826,47.05882352941176,14.705882352941178,2.941176470588235,24,27,20,19,26.666666666666668,30.0,22.22222222222222,21.11111111111111,0,12,5,1
Example_Animal_10,example_animal_10_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,20,9,57,36,15,14,29,5,2,20,20,9,0,30.15,20.0,37.63636363636363,21.0,5.25,6.0,4.333333333333333,105,0,3,1,5,11,3,1,5,55.00000000000001,15.0,5.0,25.0,24,25,25,31,22.857142857142858,23.809523809523807,23.809523809523807,29.523809523809526,0,0,0,0,18,18,6,0,12.38888888888889,10.0,9.833333333333334,17.5,2.9444444444444446,2.25,4.333333333333333,53,0,2,0,4,12,2,0,4,66.66666666666666,11.11111111111111,0.0,22.22222222222222,16,11,10,16,30.18867924528302,20.754716981132077,18.867924528301888,30.18867924528302,0,0,0,0,57,57,36,2,25.87037037037037,8.0,9.842105263157896,25.757575757575758,4.385964912280702,2.0526315789473686,4.416666666666667,250,29,0,5,2,29,19,5,2,50.877192982456144,33.33333333333333,8.771929824561402,3.508771929824561,73,62,60,55,29.2,24.8,24.0,22.0,15,14,5,2
