animal_id,source_file,strain,dob,homecage_mice_at_testing,adversity_condition,genotype,birth_litter_size_p05_20,homecage_rank,adversity_age_range,vendor,p20_22_weight_g,homecage_nesting_material,experiment_cohort,bred_or_shipped,age_at_weaning_days,homecage_hut,sex,homecage_chewing_material,lab_source,testing_shavings,testing_light_phase,reinforcer,reinforcer_size_mg,testing_shavings_manufacturer,testing_room_lumens,experimenter,colony_light_cycle,video_recorded_discrimination,video_recorded_recall,video_recorded_reversal,colony_lights_on_time,testing_ramekin_diameter,colony_chow_brand,testing_ramekins_sham_baited,group,animal_id_inferred_from_filename,experimenter_gender,PC1,PC2,PC3
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,2.6088491614211637,0.4898901493044848,0.27109163688314497
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,3.3699886347543453,1.439676538442069,-0.14062456963377418
Example_Animal_03,example_animal_03_four_choice.xlsx,,,,Food Restriction,,,,,Jackson,,,,Shipped,,,M,,Wilbrecht; UC Berkeley,Aspen,Dark,Cheerio,,Kaytee,,Han-Ning Lu,10:10:00,N,Y,Y,22:00,,,,Food Restriction,False,M,-0.47256700959476444,-0.6223311134096647,2.00028164122573
Example_Animal_04,example_animal_04_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,-0.1470442792712359,-2.058029245662511,-2.350191779913674
Example_Animal_05,example_animal_05_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,1.4863940645885967,1.6706471752838417,-1.120065737600189
Example_Animal_06,example_animal_06_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,-3.5201295170873967,1.828494561851488,-0.6796191528115313
Example_Animal_07,example_animal_07_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,-1.2949043882704665,-0.792706676428403,-0.08601027055879629
Example_Animal_08,example_animal_08_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,1.7042954363566611,0.7679377224167839,0.7691542613098961
Example_Animal_09,example_animal_09_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,0.8059350028639531,-3.6591787267838303,0.40188536372540257
Example_Animal_10,example_animal_10_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,-2.354507590753814,0.6769493362093942,0.38670769140873723
Example_Animal_11,example_animal_11_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,-2.18630951500704,0.2586502787763484,0.5473909159650553
