animal_id,lab_source,experiment_cohort,group,sex,genotype,variable,value
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,TTC_in_discrimination,27.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,TTC_in_discrimination,17.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Total_errors_in_discrimination,15.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Total_errors_in_discrimination,5.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,TTC_in_reversal,20.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,TTC_in_reversal,13.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Total_errors_in_reversal,8.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Total_errors_in_reversal,4.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Perseverative_errors_in_reversal,2.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Perseverative_errors_in_reversal,1.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Regressive_errors_in_reversal,6.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,Regressive_errors_in_reversal,3.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,O1_errors,8.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,O1_errors,4.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,O3_errors,0.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,O3_errors,0.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,O4_errors,0.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,O4_errors,0.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,recall_mean_entries,5.25
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,recall_mean_entries,2.4444444444444446
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_entries,3.25
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_entries,2.230769230769231
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_total_entries,65.0
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_total_entries,29.0
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_latency_sec,13.1
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_latency_sec,13.461538461538462
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_latency_correct_sec,11.583333333333334
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_latency_correct_sec,10.444444444444445
Example_Animal_02,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_latency_incorrect_sec,15.375
Example_Animal_03,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,rev_mean_latency_incorrect_sec,20.25
