animal_id,source_file,strain,dob,homecage_mice_at_testing,adversity_condition,genotype,birth_litter_size_p05_20,homecage_rank,adversity_age_range,vendor,p20_22_weight_g,homecage_nesting_material,experiment_cohort,bred_or_shipped,age_at_weaning_days,homecage_hut,sex,homecage_chewing_material,lab_source,testing_shavings,testing_light_phase,reinforcer,reinforcer_size_mg,testing_shavings_manufacturer,testing_room_lumens,experimenter,colony_light_cycle,video_recorded_discrimination,video_recorded_recall,video_recorded_reversal,colony_lights_on_time,testing_ramekin_diameter,colony_chow_brand,testing_ramekins_sham_baited,group,animal_id_inferred_from_filename,experimenter_gender,phase,session_date,n_trials,trials_to_criterion_8of10_non_omission,total_errors,omissions,mean_latency_sec,median_latency_sec,mean_latency_correct_sec,mean_latency_incorrect_sec,mean_entries,mean_entries_correct,mean_entries_incorrect,total_entries,A_errors,A_choices,A_choice_percent_trials,A_entries,A_entry_percent_total,B_errors,B_choices,B_choice_percent_trials,B_entries,B_entry_percent_total,C_errors,C_choices,C_choice_percent_trials,C_entries,C_entry_percent_total,D_errors,D_choices,D_choice_percent_trials,D_entries,D_entry_percent_total,perseverative_errors,regressive_errors,irrelevant_errors,novel_errors,omission_errors,other_errors
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,discrimination,2026-09-02,27,27,15,0,13.074074074074074,8.0,14.75,11.733333333333333,2.3703703703703702,2.8333333333333335,2.0,64,0,12,44.44444444444444,13,20.3125,4,4,14.814814814814813,17,26.5625,4,4,14.814814814814813,15,23.4375,7,7,25.925925925925924,19,29.6875,0,0,0,0,0,0
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,recall,2026-09-03,8,8,0,0,18.875,11.0,18.875,,5.25,5.25,,42,0,8,100.0,10,23.809523809523807,0,0,0.0,12,28.57142857142857,0,0,0.0,7,16.666666666666664,0,0,0.0,13,30.952380952380953,0,0,0,0,0,0
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,reversal,2026-09-03,20,20,8,0,13.1,8.0,11.583333333333334,15.375,3.25,2.75,4.0,65,8,8,40.0,16,24.615384615384617,0,12,60.0,17,26.153846153846157,0,0,0.0,19,29.230769230769234,0,0,0.0,13,20.0,2,6,0,0,0,0
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,discrimination,2026-09-02,17,17,5,0,12.941176470588236,9.0,10.333333333333334,19.2,2.7058823529411766,2.3333333333333335,3.6,46,0,12,70.58823529411765,14,30.434782608695656,4,4,23.52941176470588,10,21.73913043478261,0,0,0.0,10,21.73913043478261,1,1,5.88235294117647,12,26.08695652173913,0,0,0,0,0,0
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,recall,2026-09-03,9,9,1,0,7.333333333333333,5.0,5.875,19.0,2.4444444444444446,2.125,5.0,22,0,8,88.88888888888889,8,36.36363636363637,0,0,0.0,5,22.727272727272727,0,0,0.0,3,13.636363636363635,1,1,11.11111111111111,6,27.27272727272727,0,0,0,0,0,0
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,Control,False,,reversal,2026-09-03,13,13,4,0,13.461538461538462,10.0,10.444444444444445,20.25,2.230769230769231,2.0,2.75,29,4,4,30.76923076923077,6,20.689655172413794,0,9,69.23076923076923,10,34.48275862068966,0,0,0.0,5,17.24137931034483,0,0,0.0,8,27.586206896551722,1,3,0,0,0,0
Example_Animal_03,example_animal_03_four_choice.xlsx,,,,Food Restriction,,,,,Jackson,,,,Shipped,,,M,,Wilbrecht; UC Berkeley,Aspen,Dark,Cheerio,,Kaytee,,Han-Ning Lu,10:10:00,N,Y,Y,22:00,,,,Food Restriction,False,M,discrimination,2026-08-27,38,38,15,3,69.73684210526316,50.0,60.15,60.46666666666667,9.631578947368421,6.8,9.666666666666666,366,0,20,52.63157894736842,89,24.316939890710383,8,8,21.052631578947366,96,26.229508196721312,0,0,0.0,82,22.404371584699454,7,7,18.421052631578945,99,27.049180327868854,0,0,0,0,3,0
Example_Animal_03,example_animal_03_four_choice.xlsx,,,,Food Restriction,,,,,Jackson,,,,Shipped,,,M,,Wilbrecht; UC Berkeley,Aspen,Dark,Cheerio,,Kaytee,,Han-Ning Lu,10:10:00,N,Y,Y,22:00,,,,Food Restriction,False,M,recall,2026-08-28,11,11,1,1,64.27272727272727,65.0,57.666666666666664,8.0,7.909090909090909,6.777777777777778,1.0,87,0,9,81.81818181818183,25,28.735632183908045,0,0,0.0,19,21.839080459770116,0,0,0.0,19,21.839080459770116,1,1,9.090909090909092,24,27.586206896551722,0,0,0,0,1,0
Example_Animal_03,example_animal_03_four_choice.xlsx,,,,Food Restriction,,,,,Jackson,,,,Shipped,,,M,,Wilbrecht; UC Berkeley,Aspen,Dark,Cheerio,,Kaytee,,Han-Ning Lu,10:10:00,N,Y,Y,22:00,,,,Food Restriction,False,M,reversal,2026-08-28,48,49,23,1,31.75,17.5,28.291666666666668,28.91304347826087,3.4791666666666665,3.2916666666666665,3.652173913043478,167,22,22,45.83333333333333,47,28.143712574850298,0,24,50.0,35,20.958083832335326,1,1,2.083333333333333,46,27.54491017964072,0,0,0.0,39,23.353293413173652,2,20,1,0,0,0
Example_Animal_04,example_animal_04_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-08-27,57,57,24,5,47.63157894736842,18.0,32.82142857142857,37.333333333333336,6.56140350877193,4.285714285714286,5.5,374,0,28,49.122807017543856,98,26.203208556149733,8,8,14.035087719298245,97,25.935828877005346,0,0,0.0,79,21.12299465240642,16,16,28.07017543859649,100,26.737967914438503,0,0,0,0,5,0
Example_Animal_04,example_animal_04_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-08-28,38,38,11,4,42.55263157894737,17.5,29.304347826086957,20.272727272727273,6.131578947368421,4.086956521739131,3.3636363636363638,233,0,23,60.526315789473685,62,26.609442060085836,6,6,15.789473684210526,59,25.321888412017167,4,4,10.526315789473683,58,24.892703862660944,1,1,2.631578947368421,54,23.17596566523605,0,0,0,0,4,0
Example_Animal_04,example_animal_04_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-08-28,51,51,23,0,12.372549019607844,5.0,9.25,16.17391304347826,2.156862745098039,1.8214285714285714,2.5652173913043477,110,10,10,19.607843137254903,28,25.454545454545453,0,28,54.90196078431373,32,29.09090909090909,5,5,9.803921568627452,26,23.636363636363637,8,8,15.686274509803921,24,21.818181818181817,0,10,5,8,0,0
Example_Animal_05,example_animal_05_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-09-03,11,11,2,1,56.90909090909091,35.0,39.75,64.0,8.636363636363637,6.5,7.0,95,0,8,72.72727272727273,26,27.368421052631582,1,1,9.090909090909092,25,26.31578947368421,0,0,0.0,19,20.0,1,1,9.090909090909092,25,26.31578947368421,0,0,0,0,1,0
Example_Animal_05,example_animal_05_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-04,10,10,1,0,50.8,45.5,54.55555555555556,17.0,8.6,9.11111111111111,4.0,86,0,9,90.0,22,25.581395348837212,1,1,10.0,19,22.093023255813954,0,0,0.0,22,25.581395348837212,0,0,0.0,23,26.744186046511626,0,0,0,0,0,0
Example_Animal_05,example_animal_05_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-04,30,30,15,0,15.7,7.0,12.2,19.2,3.1666666666666665,2.0,4.333333333333333,95,11,11,36.666666666666664,21,22.105263157894736,0,15,50.0,30,31.57894736842105,0,0,0.0,17,17.894736842105264,4,4,13.333333333333334,27,28.421052631578945,5,6,0,4,0,0
Example_Animal_06,example_animal_06_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-08-03,15,15,5,0,24.8,12.0,31.6,11.2,3.8,4.2,3.0,57,0,10,66.66666666666666,16,28.07017543859649,1,1,6.666666666666667,15,26.31578947368421,1,1,6.666666666666667,13,22.807017543859647,3,3,20.0,13,22.807017543859647,0,0,0,0,0,0
Example_Animal_06,example_animal_06_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-04,33,33,12,0,14.393939393939394,7.0,15.571428571428571,12.333333333333334,3.090909090909091,3.2857142857142856,2.75,102,0,21,63.63636363636363,28,27.450980392156865,1,1,3.0303030303030303,25,24.509803921568626,1,1,3.0303030303030303,23,22.54901960784314,10,10,30.303030303030305,26,25.49019607843137,0,0,0,0,0,0
Example_Animal_06,example_animal_06_four_choice.xlsx,JAX C57,2026-06-30,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-04,61,61,45,2,25.049180327868854,6.0,15.214285714285714,21.22222222222222,4.147540983606557,4.0,3.8,253,37,37,60.65573770491803,73,28.85375494071146,0,14,22.950819672131146,66,26.08695652173913,4,4,6.557377049180328,55,21.73913043478261,4,4,6.557377049180328,59,23.3201581027668,27,10,4,4,0,0
Example_Animal_07,example_animal_07_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-09-11,40,38,17,10,89.65,62.5,46.07692307692308,69.82352941176471,9.2,4.923076923076923,7.823529411764706,368,0,13,32.5,93,25.271739130434785,2,2,5.0,97,26.358695652173914,2,2,5.0,88,23.91304347826087,13,13,32.5,90,24.456521739130434,0,0,0,0,10,0
Example_Animal_07,example_animal_07_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-12,42,42,24,3,49.0,34.0,48.4,33.0,4.309523809523809,4.6,3.2083333333333335,181,0,15,35.714285714285715,44,24.30939226519337,14,14,33.33333333333333,48,26.519337016574585,1,1,2.380952380952381,42,23.204419889502763,9,9,21.428571428571427,47,25.96685082872928,0,0,0,0,3,0
Example_Animal_07,example_animal_07_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-12,52,52,29,5,36.78846153846154,13.5,14.277777777777779,26.06896551724138,5.038461538461538,2.5,3.896551724137931,262,19,19,36.53846153846153,76,29.00763358778626,0,18,34.61538461538461,58,22.137404580152673,9,9,17.307692307692307,69,26.33587786259542,1,1,1.9230769230769231,59,22.519083969465647,9,10,9,1,0,0
Example_Animal_08,example_animal_08_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-09-11,22,22,9,0,36.68181818181818,26.5,27.0,50.666666666666664,6.409090909090909,5.384615384615385,7.888888888888889,141,0,13,59.09090909090909,39,27.659574468085108,0,0,0.0,35,24.822695035460992,2,2,9.090909090909092,34,24.113475177304963,7,7,31.818181818181817,33,23.404255319148938,0,0,0,0,0,0
Example_Animal_08,example_animal_08_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-12,10,10,2,0,54.6,31.0,60.5,31.0,7.6,8.125,5.5,76,0,8,80.0,18,23.684210526315788,0,0,0.0,17,22.36842105263158,0,0,0.0,20,26.31578947368421,2,2,20.0,21,27.631578947368425,0,0,0,0,0,0
Example_Animal_08,example_animal_08_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-12,30,30,12,0,35.206896551724135,23.0,45.705882352941174,20.333333333333332,4.133333333333334,4.777777777777778,3.1666666666666665,124,12,12,40.0,26,20.967741935483872,0,18,60.0,36,29.03225806451613,0,0,0.0,29,23.387096774193548,0,0,0.0,33,26.61290322580645,2,10,0,0,0,0
Example_Animal_09,example_animal_09_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-09-13,82,81,44,1,28.658536585365855,16.0,29.64864864864865,24.386363636363637,4.658536585365853,4.621621621621622,4.545454545454546,382,0,37,45.1219512195122,98,25.654450261780106,6,6,7.317073170731707,94,24.60732984293194,4,4,4.878048780487805,86,22.5130890052356,34,34,41.46341463414634,104,27.225130890052355,0,0,0,0,1,0
Example_Animal_09,example_animal_09_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-13,16,16,7,0,24.3125,13.5,16.22222222222222,34.714285714285715,5.3125,3.7777777777777777,7.285714285714286,85,0,9,56.25,25,29.411764705882355,3,3,18.75,20,23.52941176470588,1,1,6.25,23,27.058823529411764,3,3,18.75,17,20.0,0,0,0,0,0,0
Example_Animal_09,example_animal_09_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-13,34,34,18,0,9.794117647058824,6.0,10.0625,9.555555555555555,2.6470588235294117,3.0,2.3333333333333335,90,12,12,35.294117647058826,24,26.666666666666668,0,16,47.05882352941176,27,30.0,5,5,14.705882352941178,20,22.22222222222222,1,1,2.941176470588235,19,21.11111111111111,0,12,5,1,0,0
Example_Animal_10,example_animal_10_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-09-14,20,20,9,0,30.15,20.0,37.63636363636363,21.0,5.25,6.0,4.333333333333333,105,0,11,55.00000000000001,24,22.857142857142858,3,3,15.0,25,23.809523809523807,1,1,5.0,25,23.809523809523807,5,5,25.0,31,29.523809523809526,0,0,0,0,0,0
Example_Animal_10,example_animal_10_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-15,18,18,6,0,12.38888888888889,10.0,9.833333333333334,17.5,2.9444444444444446,2.25,4.333333333333333,53,0,12,66.66666666666666,16,30.18867924528302,2,2,11.11111111111111,11,20.754716981132077,0,0,0.0,10,18.867924528301888,4,4,22.22222222222222,16,30.18867924528302,0,0,0,0,0,0
Example_Animal_10,example_animal_10_four_choice.xlsx,JAX C57,,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Albert Ader,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-15,57,57,36,2,25.87037037037037,8.0,9.842105263157896,25.757575757575758,4.385964912280702,2.0526315789473686,4.416666666666667,250,29,29,50.877192982456144,73,29.2,0,19,33.33333333333333,62,24.8,5,5,8.771929824561402,60,24.0,2,2,3.508771929824561,55,22.0,15,14,5,2,0,0
Example_Animal_11,example_animal_11_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,discrimination,2026-09-14,26,26,13,0,43.57692307692308,24.0,37.07692307692308,50.07692307692308,6.8076923076923075,6.153846153846154,7.461538461538462,177,0,13,50.0,42,23.728813559322035,2,2,7.6923076923076925,47,26.55367231638418,1,1,3.8461538461538463,39,22.033898305084744,10,10,38.46153846153847,49,27.683615819209038,0,0,0,0,0,0
Example_Animal_11,example_animal_11_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,recall,2026-09-15,28,28,10,0,15.357142857142858,12.0,16.61111111111111,13.1,2.8214285714285716,3.0,2.5,79,0,18,64.28571428571429,23,29.11392405063291,1,1,3.571428571428571,17,21.518987341772153,0,0,0.0,18,22.78481012658228,9,9,32.142857142857146,21,26.582278481012654,0,0,0,0,0,0
Example_Animal_11,example_animal_11_four_choice.xlsx,JAX C57,2026-07-10,,Control,WT,unknown,,N/A,JAX,N/A,Y,,Shipped,N/A,N,M,N,"UC Berkeley, Wilbrecht Lab",Aspen,Dark,Bioserv,20.0,Kaytee,,Han-Ning Lu,12:12:00,Y,Y,Y,22:00,,,Y,Control,False,M,reversal,2026-09-15,56,55,35,1,21.589285714285715,9.0,11.75,22.685714285714287,3.642857142857143,2.3,4.142857142857143,204,28,28,50.0,57,27.941176470588236,0,20,35.714285714285715,52,25.49019607843137,6,6,10.714285714285714,51,25.0,1,1,1.7857142857142856,44,21.568627450980394,15,13,6,1,0,0
