source_file,animal_id,lab_source,experiment_cohort,group,sex,genotype,strain,phase,sheet_name,session_date,session_start_time,session_end_time,session_start_zeitgeber_time,session_end_zeitgeber_time,trial,excel_row,bowl_order,odor_chosen,odor_chosen_label,quadrant_chosen,rewarded_odor,rewarded_label,correct,error,omission,error_type,latency_sec,entries,entry_sequence,entry_quadrant_sequence,entry_odor_sequence,entry_A_count,entry_B_count,entry_C_count,entry_D_count,entry_O1_count,entry_O2_count,entry_O3_count,entry_O4_count,notes,correct_running_count,non_omission_count,correct_in_last_10_non_omission,reversal_first_correct_seen
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,1,10,ABCD,A,Anise,NW,A,Anise,True,False,False,,47.0,13,4242124321321,"SE,NE,SE,NE,NW,NE,SE,SW,NE,NW,SW,NE,NW","D,B,D,B,A,B,D,C,B,A,C,B,A",3,5,2,3,0,0,0,0,,1,1,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,2,11,BCDA,B,Cinnamon,NW,A,Anise,False,True,False,B_error,18.0,3,321,"SW,NE,NW","D,C,B",0,1,1,1,0,0,0,0,,0,2,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,3,12,CDAB,A,Anise,SW,A,Anise,True,False,False,,20.0,5,41213,"SE,NW,NE,NW,SW","B,C,D,C,A",1,1,2,1,0,0,0,0,,1,3,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,4,13,DABC,A,Anise,NE,A,Anise,True,False,False,,12.0,4,1312,"NW,SW,NW,NE","D,B,D,A",1,1,0,2,0,0,0,0,,2,4,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,5,14,ABCD,D,Vanilla,SE,A,Anise,False,True,False,D_error,3.0,1,4,SE,D,0,0,0,1,0,0,0,0,,0,5,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,6,15,BCDA,A,Anise,SE,A,Anise,True,False,False,,5.0,1,4,SE,A,1,0,0,0,0,0,0,0,,1,6,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,7,16,CDAB,B,Cinnamon,SE,A,Anise,False,True,False,B_error,6.0,1,4,SE,B,0,1,0,0,0,0,0,0,,0,7,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,8,17,DABC,D,Vanilla,NW,A,Anise,False,True,False,D_error,14.0,2,21,"NE,NW","A,D",1,0,0,1,0,0,0,0,,0,8,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,9,18,ABCD,A,Anise,NW,A,Anise,True,False,False,,5.0,1,1,NW,A,1,0,0,0,0,0,0,0,,1,9,,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,10,19,BCDA,A,Anise,SE,A,Anise,True,False,False,,9.0,2,34,"SW,SE","D,A",1,0,0,1,0,0,0,0,,2,10,6.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,11,20,CDAB,A,Anise,SW,A,Anise,True,False,False,,32.0,4,4213,"SE,NE,NW,SW","B,D,C,A",1,1,1,1,0,0,0,0,,3,11,6.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,12,21,DABC,A,Anise,NE,A,Anise,True,False,False,,24.0,6,314312,"SW,NW,SE,SW,NW,NE","B,D,C,B,D,A",1,2,1,2,0,0,0,0,,4,12,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,13,22,ABCD,A,Anise,NW,A,Anise,True,False,False,,5.0,2,21,"NE,NW","B,A",1,1,0,0,0,0,0,0,,5,13,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,14,23,BCDA,A,Anise,SE,A,Anise,True,False,False,,15.0,5,23124,"NE,SW,NW,NE,SE","C,D,B,C,A",1,1,2,1,0,0,0,0,,6,14,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,15,24,CDAB,D,Vanilla,NE,A,Anise,False,True,False,D_error,2.0,2,42,"SE,NE","B,D",0,1,0,1,0,0,0,0,,0,15,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,16,25,DABC,A,Anise,NE,A,Anise,True,False,False,,13.0,2,12,"NW,NE","D,A",1,0,0,1,0,0,0,0,,1,16,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,17,26,ABCD,C,Lemon,SW,A,Anise,False,True,False,C_error,8.0,1,3,SW,C,0,0,1,0,0,0,0,0,,0,17,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,18,27,BCDA,D,Vanilla,SW,A,Anise,False,True,False,D_error,14.0,1,4,SE,A,1,0,0,0,0,0,0,0,,0,18,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,19,28,CDAB,D,Vanilla,NE,A,Anise,False,True,False,D_error,14.0,3,142,"NW,SE,NE","C,B,D",0,1,1,1,0,0,0,0,,0,19,6.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,20,29,DABC,D,Vanilla,NW,A,Anise,False,True,False,D_error,82.0,14,31342413424241,"SW,NW,SW,SE,NE,SE,NW,SW,SE,NE,SE,NE,SE,NW","B,D,B,C,A,C,D,B,C,A,C,A,C,D",3,3,5,3,0,0,0,0,,0,20,5.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,21,30,ABCD,D,Vanilla,SE,A,Anise,False,True,False,D_error,72.0,15,134242434343434,"NW,SW,SE,NE,SE,NE,SE,SW,SE,SW,SE,SW,SE,SW,SE","A,C,D,B,D,B,D,C,D,C,D,C,D,C,D",1,2,5,7,0,0,0,0,,0,21,4.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,22,31,BCDA,A,Anise,SE,A,Anise,True,False,False,,6.0,2,34,"SW,SE","D,A",1,0,0,1,0,0,0,0,,1,22,4.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,23,32,CDAB,A,Anise,SW,A,Anise,True,False,False,,5.0,1,3,SW,A,1,0,0,0,0,0,0,0,,2,23,4.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,24,33,DABC,A,Anise,NE,A,Anise,True,False,False,,14.0,3,342,"SW,SE,NE","B,C,A",1,1,1,0,0,0,0,0,,3,24,4.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,25,34,ABCD,A,Anise,NW,A,Anise,True,False,False,,22.0,5,12421,"NW,NE,SE,NE,NW","A,B,D,B,A",2,2,0,1,0,0,0,0,,4,25,5.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,26,35,BCDA,A,Anise,SE,A,Anise,True,False,False,,19.0,6,342424,"SW,SE,NE,SE,NE,SE","D,A,C,A,C,A",3,0,2,1,0,0,0,0,,5,26,5.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,27,36,CDAB,A,Anise,SW,A,Anise,True,False,False,,17.0,4,4213,"SE,NE,NW,SW","B,D,C,A",1,1,1,1,0,0,0,0,,6,27,6.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,28,37,DABC,A,Anise,NE,A,Anise,True,False,False,,20.0,3,142,"NW,SE,NE","D,C,A",1,0,1,1,0,0,0,0,,7,28,7.0,False
example_animal_01_four_choice.xlsx,Example_Animal_01,"Zuo Lab, UCSC",ARC,N/A,M,Wildtype,C57BL/6,discrimination,DISC,2026-07-10,15:22,16:24,ZT 09:22,ZT 10:24,29,38,ABCD,D,Vanilla,SE,A,Anise,False,True,False,D_error,20.0,4,3234,"SW,NE,SW,SE","C,B,C,D",0,1,2,1,0,0,0,0,,0,29,7.0,False
