animal_id,source_file,strain,dob,homecage_mice_at_testing,adversity_condition,genotype,birth_litter_size_p05_20,homecage_rank,adversity_age_range,vendor,p20_22_weight_g,homecage_nesting_material,experiment_cohort,bred_or_shipped,age_at_weaning_days,homecage_hut,sex,homecage_chewing_material,lab_source,testing_shavings,testing_light_phase,reinforcer,reinforcer_size_mg,testing_shavings_manufacturer,testing_room_lumens,experimenter,colony_light_cycle,video_recorded_discrimination,video_recorded_recall,video_recorded_reversal,colony_lights_on_time,testing_ramekin_diameter,colony_chow_brand,testing_ramekins_sham_baited,animal_id_inferred_from_filename,experimenter_gender,experimental_day,current_behavioral_phase,stage,date,time,zeitgeber_time,age_days,weight_g,percent_baseline
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 0,baseline,Initial Weighing,2026-08-28,12:00,ZT 04:00,63.0,30.0,1.0
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 1,handling,Food Restriction + Handling,2026-08-29,11:10,ZT 03:10,64.0,30.0,1.0
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 2,handling,Food Restriction + Handling,2026-08-30,12:20,ZT 04:20,65.0,28.5,0.95
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 3,acclimation,Food Restriction + Acclimation,2026-08-31,11:15,ZT 03:15,66.0,27.0,0.9
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 4,shaping,Food Restriction + Shaping,2026-09-01,09:25,ZT 01:25,67.0,25.2,0.84
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 5,testing,Food Restriction + Testing,2026-09-02,09:00,ZT 01:00,68.0,25.0,0.8333333333333334
Example_Animal_01,example_animal_01_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 6,testing,Testing,2026-09-03,11:05,ZT 03:05,69.0,24.4,0.8133333333333332
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 0,baseline,Initial Weighing,2026-08-28,12:00,ZT 04:00,63.0,31.3,1.0
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 1,handling,Food Restriction + Handling,2026-08-29,11:10,ZT 03:10,64.0,31.6,1.0095846645367412
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 2,handling,Food Restriction + Handling,2026-08-30,12:20,ZT 04:20,65.0,29.3,0.9361022364217252
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 3,acclimation,Food Restriction + Acclimation,2026-08-31,11:15,ZT 03:15,66.0,28.1,0.8977635782747604
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 4,shaping,Food Restriction + Shaping,2026-09-01,09:25,ZT 01:25,67.0,26.5,0.8466453674121406
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 5,testing,Food Restriction + Testing,2026-09-02,09:00,ZT 01:00,68.0,25.9,0.8274760383386581
Example_Animal_02,example_animal_02_four_choice.xlsx,C57BL/6,2026-06-26,2.0,Control,Wildtype,Unknown,Not observed,N/A,Jackson/NIH,Unknown,Y,ARC,Shipped,21,Y,M,N,"Zuo Lab, UCSC",Aspen,Light Phase,Bio-Serv Pellets,20.0,Kaytee,Unknown,Aria,8:8,N,N,N,08:00,3.7 inches,Teklad 2920X,Y,False,,Day 6,testing,Testing,2026-09-03,11:05,ZT 03:05,69.0,25.1,0.8019169329073482
Example_Animal_03,example_animal_03_four_choice.xlsx,,,,Food Restriction,,,,,Jackson,,,,Shipped,,,M,,Wilbrecht; UC Berkeley,Aspen,Dark,Cheerio,,Kaytee,,Han-Ning Lu,10:10:00,N,Y,Y,22:00,,,,False,M,Day 0,baseline,Initial Weighing,2026-08-22,17:10,ZT 19:10,,23.2,1.0
